"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
0004373c-4482-48b6-9098-07b3cdbd8184,4c2ae81f-fce9-4aa7-b80c-61e8b5e944f4,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+751@gmail.com.invalid.invalid.invalid.invalid.invalid,"#N/A","#N/A",Guglielma,"#N/A","#N/A",Garrick,"#N/A",KALANG,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,26 Dalgarno Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2454,"#N/A","#N/A",(03) 5338 4014,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
0005cea7-0344-42e4-b1a8-f4d284dddf1a,6664cd6c-6f06-4fc5-95d1-74642a085273,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+365@gmail.com.invalid.invalid.invalid.invalid.invalid,"#N/A","#N/A",Lisabeth,"#N/A","#N/A",Brock,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",202-555-0104,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
00191506-5136-4e18-8846-1ad4dbeb31d9,7ba71538-bf6d-4e47-9129-cadadb8b10a5,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+681@gmail.com.invalid.invalid.invalid.invalid.invalid.invalid,"#N/A","#N/A",Linnie,"#N/A","#N/A",Chip,"#N/A","#N/A",USA,"#N/A","#N/A","#N/A",81005,CO,336 Erie Plaza,"#N/A",Pueblo,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prodly,"#N/A","#N/A",false,false
003112cb-ca82-4e30-b571-f89d13414041,c87451f6-64b8-4dcf-b540-adf645e1af10,"#N/A",(03) 7295 8064,"#N/A",Business Development,"#N/A",jmanningcongagdo+695@gmail.com.invalid.invalid.invalid.invalid.invalid.invalid,"#N/A",(03) 7295 8064,Kirbie,"#N/A","#N/A",Dylan,"#N/A",Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,350 Collins Street,0428 239 189,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3000,VIC,350 Collins Street,(03) 7295 8064,"#N/A","#N/A",EVP Business Development,Prodly,"#N/A","#N/A",false,false
009bb1bd-ebaa-4ccd-8c09-bf0c9d23817b,10a2a2d9-395b-48b0-85af-f6e043c2c371,"#N/A","#N/A","#N/A","#N/A","Jeff Gennette was elected chief executive officer on March 23, 2017. Gennette previously held the role of president of Macy’s, Inc. from March 2014 until September 2017. Prior to that, he was chief merchandising officer of Macy’s, Inc. (formerly known as Federated Department Stores, Inc.), a position to which he was appointed in February 2009.",jmanningcongagdo+728@gmail.com.invalid.invalid.invalid.invalid.invalid,"#N/A","#N/A",Genevieve,"#N/A","#N/A",Bron,"#N/A",Houston,USA,"#N/A","#N/A","#N/A",77504,TX,Reliant Parkway,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(901) 559-1159,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
00ac72aa-8626-4dce-8dd4-0ad5c52c4d8d,fc413919-2e4f-4584-ab14-98b01c5509f8,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+638@gmail.com.invalid.invalid.invalid.invalid.invalid.invalid,"#N/A","#N/A",Doralin,"#N/A","#N/A",Orbadiah,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+81 725 925939,"#N/A","#N/A","Vice President, IT",Prodly,"#N/A","#N/A",false,false
010c14df-aaba-4a15-8315-193fa5c2b8d1,dbc72026-2087-4f76-9f02-f82c55cd41e5,"#N/A","#N/A",1965-09-01,"#N/A",Alex Gorsky is Chairman and Chief Executive Officer of Johnson & Johnson. Alex is the seventh person to serve as Chairman and CEO of Johnson & Johnson since it became a publicly traded company in 1944.,jmanningcongagdo+274@gmail.com.invalid.invalid.invalid.invalid.invalid.invalid,"#N/A","#N/A",Margaretta,"#N/A","#N/A",Parsifal,"#N/A",Sydney,Australia,"#N/A","#N/A","#N/A",2000,NSW,201 Sussex Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(361) 571-7392,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
013e7b87-b565-4358-b76b-0f85fcf9359b,1f1b5eaf-3d94-4a7f-8ec5-3faf2d17fd57,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+336@gmail.com.invalid.invalid.invalid.invalid.invalid,"#N/A","#N/A",Lisha,"#N/A","#N/A",Vick,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(188) 998-6561,"#N/A","#N/A","CEO, President",Prodly,"#N/A","#N/A",false,false
0150d569-696f-4724-ad7e-e84ffc11e2de,1fa79d58-755e-4015-a852-2a87d67a71f9,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+797@gmail.com.invalid.invalid.invalid.invalid.invalid,"#N/A","#N/A",Melissa,"#N/A","#N/A",Odell,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 4033,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
01f3d72a-d744-4484-b129-9dd5e2543682,c372afa4-cd9e-4056-9433-6f39853d8adc,"#N/A","#N/A",1980-11-01,"#N/A","#N/A",jmanningcongagdo+384@gmail.com.invalid.invalid.invalid.invalid.invalid,"#N/A","#N/A",Anett,"#N/A","#N/A",Francesco,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(310) 780-2102,"#N/A","#N/A",General Counsel,Prodly,"#N/A","#N/A",false,false
